test_id	ncbi_gene_link	gene_symbol	gene_id	gene_desc	locus	sample_1	sample_2	status	value_1	value_2	log2(fold_change)	test_stat	p_value	q_value	significant	linear_fold_change	"diff_exp
Fank1	Fank1	Fank1	66930	fibronectin type 3 and ankyrin repeat domains 1	chr7:133776890-133881532	pomc	nonpomc	OK	2.494	6.525	1.388	4.476	5.00E-05	8.69E-05	yes	2.617	Yes
Nudc	Nudc	Nudc	18221	nudC nuclear distribution protein	chr4:133532541-133546027	pomc	nonpomc	OK	77.579	202.942	1.387	7.599	5.00E-05	8.69E-05	yes	2.616	Yes
Tmem203	Tmem203	Tmem203	227615	transmembrane protein 203	chr2:25255438-25256352	pomc	nonpomc	OK	3.847	10.057	1.386	4.027	5.00E-05	8.69E-05	yes	2.614	Yes
Zfp524	Zfp524	Zfp524	66056	zinc finger protein 524	chr7:5015507-5018488	pomc	nonpomc	OK	2.464	6.440	1.386	4.024	5.00E-05	8.69E-05	yes	2.614	Yes
Rcc2	Rcc2	Rcc2	108911	regulator of chromosome condensation 2	chr4:140701472-140723220	pomc	nonpomc	OK	12.358	32.301	1.386	7.566	5.00E-05	8.69E-05	yes	2.614	Yes
Sgk2	Sgk2	Sgk2	27219	serum/glucocorticoid regulated kinase 2	chr2:162987480-163014127	pomc	nonpomc	OK	0.592	1.547	1.386	3.049	5.00E-05	8.69E-05	yes	2.614	Yes
Gpr180	Gpr180	Gpr180	58245	G protein-coupled receptor 180	chr14:118137126-118164232	pomc	nonpomc	OK	3.378	8.827	1.386	5.771	5.00E-05	8.69E-05	yes	2.613	Yes
Gpr37l1	Gpr37l1	Gpr37l1	171469	G protein-coupled receptor 37-like 1	chr1:135160249-135167681	pomc	nonpomc	OK	11.382	29.733	1.385	6.907	5.00E-05	8.69E-05	yes	2.612	Yes
U2af1l4	U2af1l4	U2af1l4	233073	U2 small nuclear RNA auxiliary factor 1-like 4	chr7:30563339-30565364	pomc	nonpomc	OK	19.037	49.728	1.385	6.240	5.00E-05	8.69E-05	yes	2.612	Yes
Fam98c	Fam98c	Fam98c	73833	"family with sequence similarity 98, member C"	chr7:29134932-29156210	pomc	nonpomc	OK	8.359	21.836	1.385	5.729	5.00E-05	8.69E-05	yes	2.612	Yes
Ly6g6f	Ly6g6f	Ly6g6f	433099	"lymphocyte antigen 6 complex, locus G6F"	chr17:35080537-35085595	pomc	nonpomc	OK	0.403	1.051	1.385	1.801	1.05E-03	1.64E-03	yes	2.611	Yes
Tmem192	Tmem192	Tmem192	73067	transmembrane protein 192	chr8:64947184-64969037	pomc	nonpomc	OK	10.537	27.513	1.385	5.508	5.00E-05	8.69E-05	yes	2.611	Yes
2310003F16Rik	2310003F16Rik	2310003F16Rik	.	.	chr2:121457087-121458440	pomc	nonpomc	OK	81.424	212.598	1.385	7.153	5.00E-05	8.69E-05	yes	2.611	Yes
Exosc7	Exosc7	Exosc7	66446	exosome component 7	chr9:123113230-123136129	pomc	nonpomc	OK	11.056	28.847	1.384	5.615	5.00E-05	8.69E-05	yes	2.609	Yes
Cdc42ep5	Cdc42ep5	Cdc42ep5	58804	CDC42 effector protein (Rho GTPase binding) 5	chr7:4151259-4164699	pomc	nonpomc	OK	0.641	1.673	1.383	2.137	1.00E-04	1.70E-04	yes	2.608	Yes
Lyl1	Lyl1	Lyl1	17095	lymphoblastomic leukemia 1	chr8:84701456-84704716	pomc	nonpomc	OK	0.256	0.668	1.382	2.047	4.00E-04	6.49E-04	yes	2.606	Yes
Tacstd2	Tacstd2	Tacstd2	56753	tumor-associated calcium signal transducer 2	chr6:67534058-67535822	pomc	nonpomc	OK	0.500	1.304	1.382	2.664	5.00E-05	8.69E-05	yes	2.606	Yes
Sar1b	Sar1b	Sar1b	66397	secretion associated Ras related GTPase 1B	chr11:51763662-51791953	pomc	nonpomc	OK	19.660	51.224	1.382	6.142	5.00E-05	8.69E-05	yes	2.606	Yes
Pnldc1	Pnldc1	Pnldc1	240023	poly(A)-specific ribonuclease (PARN)-like domain containing 1	chr17:12888901-12910000	pomc	nonpomc	OK	0.218	0.568	1.381	1.576	5.85E-03	8.47E-03	yes	2.605	Yes
Zfp503	Zfp503	Zfp503	218820	zinc finger protein 503	chr14:21983961-21989601	pomc	nonpomc	OK	1.330	3.465	1.381	5.552	5.00E-05	8.69E-05	yes	2.605	Yes
Sgta	Sgta	Sgta	52551	"small glutamine-rich tetratricopeptide repeat (TPR)-containing, alpha"	chr10:81044072-81060154	pomc	nonpomc	OK	31.792	82.793	1.381	7.552	5.00E-05	8.69E-05	yes	2.604	Yes
Rad1	Rad1	Rad1	19355	RAD1 checkpoint DNA exonuclease	chr15:10486033-10493691	pomc	nonpomc	OK	4.304	11.209	1.381	4.508	5.00E-05	8.69E-05	yes	2.604	Yes
Bag2	Bag2	Bag2	213539	BCL2-associated athanogene 2	chr1:33745483-33757750	pomc	nonpomc	OK	5.113	13.315	1.381	5.570	5.00E-05	8.69E-05	yes	2.604	Yes
Spata24	Spata24	Spata24	71242	spermatogenesis associated 24	chr18:35656688-35662186	pomc	nonpomc	OK	5.663	14.740	1.380	3.965	5.00E-05	8.69E-05	yes	2.603	Yes
Pou3f1	Pou3f1	Pou3f1	18991	"POU domain, class 3, transcription factor 1"	chr4:124657645-124660655	pomc	nonpomc	OK	1.842	4.794	1.380	5.692	5.00E-05	8.69E-05	yes	2.603	Yes
Fam188a	Fam188a	Fam188a	66960	"family with sequence similarity 188, member A"	chr2:12347263-12419460	pomc	nonpomc	OK	10.606	27.595	1.380	6.033	5.00E-05	8.69E-05	yes	2.602	Yes
Rab28	Rab28	Rab28	100972	"RAB28, member RAS oncogene family"	chr5:41624975-41708155	pomc	nonpomc	OK	34.067	88.635	1.380	7.055	5.00E-05	8.69E-05	yes	2.602	Yes
Dap	Dap	Dap	223453	death-associated protein	chr15:31224384-31274338	pomc	nonpomc	OK	4.361	11.345	1.379	5.047	5.00E-05	8.69E-05	yes	2.601	Yes
4632428C04Rik	4632428C04Rik	4632428C04Rik	100043102	RIKEN cDNA 4632428C04 gene	chr16:30008666-30021430	pomc	nonpomc	OK	0.712	1.851	1.379	3.255	5.00E-05	8.69E-05	yes	2.601	Yes
Smagp	Smagp	Smagp	207818	small cell adhesion glycoprotein	chr15:100621339-100636865	pomc	nonpomc	OK	0.291	0.758	1.379	1.531	6.80E-03	9.77E-03	yes	2.600	Yes
Vwc2	Vwc2	Vwc2	319922	von Willebrand factor C domain containing 2	chr11:11114015-11263526	pomc	nonpomc	OK	2.327	6.051	1.379	5.504	5.00E-05	8.69E-05	yes	2.600	Yes
2610034M16Rik	2610034M16Rik	2610034M16Rik	.	.	chr17:58878807-58991375	pomc	nonpomc	OK	0.449	1.168	1.379	3.022	5.00E-05	8.69E-05	yes	2.600	Yes
Nus1	Nus1	Nus1	52014	NUS1 dehydrodolichyl diphosphate synthase subunit	chr10:52417546-52440192	pomc	nonpomc	OK	13.495	35.064	1.378	7.391	5.00E-05	8.69E-05	yes	2.598	Yes
Wdr45	Wdr45	Wdr45	54636	WD repeat domain 45	chrX:7722248-7728201	pomc	nonpomc	OK	8.073	20.976	1.377	5.927	5.00E-05	8.69E-05	yes	2.598	Yes
E2f6	E2f6	E2f6	50496	E2F transcription factor 6	chr12:16810964-16826752	pomc	nonpomc	OK	12.817	33.297	1.377	6.776	5.00E-05	8.69E-05	yes	2.598	Yes
Alyref2	Alyref2	Alyref2	56009	Aly/REF export factor 2	chr1:171503477-171504750	pomc	nonpomc	OK	3.122	8.111	1.377	4.163	5.00E-05	8.69E-05	yes	2.598	Yes
Tmed3	Tmed3	Tmed3	66111	transmembrane emp24 domain containing 3	chr9:89699202-89705043	pomc	nonpomc	OK	9.081	23.589	1.377	5.934	5.00E-05	8.69E-05	yes	2.598	Yes
Bbip1	Bbip1	Bbip1	100503572	BBSome interacting protein 1	chr19:53892230-54033278	pomc	nonpomc	OK	12.413	32.221	1.376	2.392	1.50E-04	2.52E-04	yes	2.596	Yes
Ucma	Ucma	Ucma	68527	upper zone of growth plate and cartilage matrix associated	chr2:4976121-4985748	pomc	nonpomc	OK	0.299	0.775	1.376	1.230	1.31E-02	1.81E-02	yes	2.596	Yes
Egfl7	Egfl7	Egfl7	353156	EGF-like domain 7	chr2:26581055-26592682	pomc	nonpomc	OK	6.515	16.909	1.376	5.424	5.00E-05	8.69E-05	yes	2.596	Yes
Pbld2	Pbld2	Pbld2	67307	phenazine biosynthesis-like protein domain containing 2	chr10:63024511-63058812	pomc	nonpomc	OK	0.340	0.882	1.376	2.418	5.00E-05	8.69E-05	yes	2.595	Yes
Lipo1	Lipo1	Lipo1	329055	"lipase, member O1"	chr19:33555280-33590311	pomc	nonpomc	OK	3.162	8.203	1.375	4.619	5.00E-05	8.69E-05	yes	2.594	Yes
Meig1	Meig1	Meig1	104362	meiosis expressed gene 1	chr2:3409042-3422648	pomc	nonpomc	OK	2.725	7.068	1.375	2.611	5.00E-05	8.69E-05	yes	2.594	Yes
2200002K05Rik	2200002K05Rik	2200002K05Rik	.	.	chr9:15239044-15259413	pomc	nonpomc	OK	4.211	10.910	1.373	5.309	5.00E-05	8.69E-05	yes	2.591	Yes
Orai3	Orai3	Orai3	269999	ORAI calcium release-activated calcium modulator 3	chr7:127769814-127775150	pomc	nonpomc	OK	3.121	8.086	1.373	4.823	5.00E-05	8.69E-05	yes	2.591	Yes
Zfpl1	Zfpl1	Zfpl1	81909	zinc finger like protein 1	chr19:6080037-6084891	pomc	nonpomc	OK	8.157	21.133	1.373	5.794	5.00E-05	8.69E-05	yes	2.591	Yes
Asf1b	Asf1b	Asf1b	66929	anti-silencing function 1B histone chaperone	chr8:83955693-83970195	pomc	nonpomc	OK	0.276	0.715	1.373	1.751	1.90E-03	2.89E-03	yes	2.590	Yes
Fdps	Fdps	Fdps	110196	farnesyl diphosphate synthetase	chr3:89093587-89101967	pomc	nonpomc	OK	30.816	79.815	1.373	7.019	5.00E-05	8.69E-05	yes	2.590	Yes
Arpm1	Arpm1	Arpm1	.	.	chr3:30597072-30599870	pomc	nonpomc	OK	0.523	1.354	1.373	2.371	5.00E-05	8.69E-05	yes	2.590	Yes
Alkbh6	Alkbh6	Alkbh6	233065	alkB homolog 6	chr7:30308752-30314303	pomc	nonpomc	OK	23.634	61.184	1.372	6.606	5.00E-05	8.69E-05	yes	2.589	Yes
Tbcc	Tbcc	Tbcc	72726	tubulin-specific chaperone C	chr17:46890620-46892463	pomc	nonpomc	OK	7.057	18.267	1.372	6.275	5.00E-05	8.69E-05	yes	2.589	Yes
Anp32e	Anp32e	Anp32e	66471	"acidic (leucine-rich) nuclear phosphoprotein 32 family, member E"	chr3:95929256-95947387	pomc	nonpomc	OK	17.622	45.610	1.372	7.104	5.00E-05	8.69E-05	yes	2.588	Yes
Tnnt2	Tnnt2	Tnnt2	21956	"troponin T2, cardiac"	chr1:135836385-135852261	pomc	nonpomc	OK	2.539	6.571	1.372	4.019	5.00E-05	8.69E-05	yes	2.588	Yes
Rian	Rian	Rian	75745	RNA imprinted and accumulated in nucleus	chr12:109603944-109661711	pomc	nonpomc	OK	117.530	304.167	1.372	6.676	5.00E-05	8.69E-05	yes	2.588	Yes
Irf8	Irf8	Irf8	15900	interferon regulatory factor 8	chr8:120736375-120756692	pomc	nonpomc	OK	0.534	1.380	1.371	3.156	5.00E-05	8.69E-05	yes	2.587	Yes
Ush1c	Ush1c	Ush1c	72088	Usher syndrome 1C	chr7:46195350-46238490	pomc	nonpomc	OK	0.359	0.929	1.371	2.459	5.00E-05	8.69E-05	yes	2.586	Yes
E130201H02Rik	E130201H02Rik	E130201H02Rik	78552	Y box protein 1 pseudogene	chr7:120597624-120598475	pomc	nonpomc	OK	0.481	1.243	1.371	1.657	2.25E-03	3.40E-03	yes	2.586	Yes
Aga	Aga	Aga	11593	aspartylglucosaminidase	chr8:53511701-53523422	pomc	nonpomc	OK	1.354	3.501	1.371	2.927	5.00E-05	8.69E-05	yes	2.586	Yes
Cd14	Cd14	Cd14	12475	CD14 antigen	chr18:36725066-36726654	pomc	nonpomc	OK	0.332	0.859	1.370	1.911	1.35E-03	2.09E-03	yes	2.585	Yes
Polr1d	Polr1d	Polr1d	20018	polymerase (RNA) I polypeptide D	chr5:147077540-147111359	pomc	nonpomc	OK	52.066	134.598	1.370	6.662	5.00E-05	8.69E-05	yes	2.585	Yes
2310045N01Rik	2310045N01Rik	2310045N01Rik	.	.	chr8:70139712-70147260	pomc	nonpomc	OK	16.548	42.758	1.370	5.270	5.00E-05	8.69E-05	yes	2.584	Yes
Insm1	Insm1	Insm1	53626	insulinoma-associated 1	chr2:146221996-146225018	pomc	nonpomc	OK	1.603	4.141	1.369	5.506	5.00E-05	8.69E-05	yes	2.583	Yes
Csnk1d	Csnk1d	Csnk1d	104318	"casein kinase 1, delta"	chr11:120961740-120991333	pomc	nonpomc	OK	21.076	54.432	1.369	7.311	5.00E-05	8.69E-05	yes	2.583	Yes
Chmp4b	Chmp4b	Chmp4b	75608	charged multivesicular body protein 4B	chr2:154657025-154694783	pomc	nonpomc	OK	92.322	238.400	1.369	7.522	5.00E-05	8.69E-05	yes	2.582	Yes
Arl6	Arl6	Arl6	56297	ADP-ribosylation factor-like 6	chr16:59613320-60605531	pomc	nonpomc	OK	15.667	40.453	1.368	3.130	5.00E-05	8.69E-05	yes	2.582	Yes
A730056A06Rik	A730056A06Rik	A730056A06Rik	319783	RIKEN cDNA A730056A06 gene	chr7:73313805-73419899	pomc	nonpomc	OK	0.872	2.249	1.367	1.335	1.88E-02	2.57E-02	yes	2.580	Yes
BC030500	BC030500	BC030500	234290	cDNA sequence BC030500	chr8:58911754-58914298	pomc	nonpomc	OK	5.655	14.586	1.367	5.239	5.00E-05	8.69E-05	yes	2.579	Yes
2310061C15Rik	2310061C15Rik	2310061C15Rik	.	.	chr8:116888684-116921436	pomc	nonpomc	OK	5.382	13.881	1.367	4.735	5.00E-05	8.69E-05	yes	2.579	Yes
Cacnb3	Cacnb3	Cacnb3	12297	"calcium channel, voltage-dependent, beta 3 subunit"	chr15:98632219-98644530	pomc	nonpomc	OK	21.312	54.961	1.367	7.756	5.00E-05	8.69E-05	yes	2.579	Yes
Apol8	Apol8	Apol8	239552	apolipoprotein L 8	chr15:77748612-77755229	pomc	nonpomc	OK	0.538	1.386	1.366	2.688	5.00E-05	8.69E-05	yes	2.577	Yes
Pgam5	Pgam5	Pgam5	72542	phosphoglycerate mutase family member 5	chr5:110259134-110269899	pomc	nonpomc	OK	15.999	41.220	1.365	6.752	5.00E-05	8.69E-05	yes	2.576	Yes
Map2k1	Map2k1	Map2k1	26395	mitogen-activated protein kinase kinase 1	chr9:64185792-64253605	pomc	nonpomc	OK	56.217	144.784	1.365	7.295	5.00E-05	8.69E-05	yes	2.575	Yes
2310037I24Rik	2310037I24Rik	2310037I24Rik	.	.	chr15:98519100-98534221	pomc	nonpomc	OK	15.743	40.540	1.365	6.973	5.00E-05	8.69E-05	yes	2.575	Yes
Zfp579	Zfp579	Zfp579	68490	zinc finger protein 579	chr7:4992851-4996101	pomc	nonpomc	OK	3.069	7.901	1.365	5.989	5.00E-05	8.69E-05	yes	2.575	Yes
Fam53c	Fam53c	Fam53c	66306	"family with sequence similarity 53, member C"	chr18:34758905-34773760	pomc	nonpomc	OK	7.588	19.529	1.364	7.075	5.00E-05	8.69E-05	yes	2.574	Yes
E530001F21Rik	E530001F21Rik	E530001F21Rik	279610	RIKEN cDNA E530001F21 gene	chrX:105164377-105165505	pomc	nonpomc	OK	1.025	2.636	1.364	2.576	5.00E-05	8.69E-05	yes	2.573	Yes
Rhov	Rhov	Rhov	228543	ras homolog family member V	chr2:119269200-119271226	pomc	nonpomc	OK	8.399	21.610	1.363	6.267	5.00E-05	8.69E-05	yes	2.573	Yes
Snurf	Snurf	Snurf	84704	SNRPN upstream reading frame	chr7:59982500-60140219	pomc	nonpomc	OK	107.602	276.832	1.363	2.518	5.00E-05	8.69E-05	yes	2.573	Yes
Pcgf1	Pcgf1	Pcgf1	69837	polycomb group ring finger 1	chr6:83078389-83080855	pomc	nonpomc	OK	7.508	19.313	1.363	4.655	5.00E-05	8.69E-05	yes	2.572	Yes
Srxn1	Srxn1	Srxn1	76650	sulfiredoxin 1 homolog (S. cerevisiae)	chr2:152105729-152111353	pomc	nonpomc	OK	30.015	77.203	1.363	7.265	5.00E-05	8.69E-05	yes	2.572	Yes
Ccdc58	Ccdc58	Ccdc58	381045	coiled-coil domain containing 58	chr16:36071659-36092118	pomc	nonpomc	OK	4.290	11.033	1.363	3.071	5.00E-05	8.69E-05	yes	2.572	Yes
2610002D18Rik	2610002D18Rik	2610002D18Rik	.	.	chr4:134510998-134523922	pomc	nonpomc	OK	0.178	0.458	1.362	1.224	3.28E-02	4.34E-02	yes	2.570	Yes
Fezf1	Fezf1	Fezf1	73191	Fez family zinc finger 1	chr6:23245046-23248264	pomc	nonpomc	OK	5.640	14.488	1.361	5.892	5.00E-05	8.69E-05	yes	2.569	Yes
1700003E16Rik	1700003E16Rik	1700003E16Rik	71837	RIKEN cDNA 1700003E16 gene	chr6:83156403-83162975	pomc	nonpomc	OK	5.587	14.348	1.361	6.315	5.00E-05	8.69E-05	yes	2.568	Yes
Rnd1	Rnd1	Rnd1	223881	Rho family GTPase 1	chr15:98669204-98677461	pomc	nonpomc	OK	9.733	24.985	1.360	6.459	5.00E-05	8.69E-05	yes	2.567	Yes
Camkk1	Camkk1	Camkk1	55984	"calcium/calmodulin-dependent protein kinase kinase 1, alpha"	chr11:73019007-73042065	pomc	nonpomc	OK	13.132	33.707	1.360	7.192	5.00E-05	8.69E-05	yes	2.567	Yes
Kctd14	Kctd14	Kctd14	233529	potassium channel tetramerisation domain containing 14	chr7:97451333-97459557	pomc	nonpomc	OK	0.416	1.069	1.360	2.290	5.00E-05	8.69E-05	yes	2.567	Yes
Snrnp35	Snrnp35	Snrnp35	76167	small nuclear ribonucleoprotein 35 (U11/U12)	chr5:124483154-124491122	pomc	nonpomc	OK	4.854	12.458	1.360	4.615	5.00E-05	8.69E-05	yes	2.567	Yes
Mog	Mog	Mog	17441	myelin oligodendrocyte glycoprotein	chr17:37010739-37023398	pomc	nonpomc	OK	19.490	50.015	1.360	6.678	5.00E-05	8.69E-05	yes	2.566	Yes
Rad9	Rad9	Rad9	.	.	chr19:4192173-4201603	pomc	nonpomc	OK	6.683	17.146	1.359	2.444	5.00E-05	8.69E-05	yes	2.566	Yes
A330009N23Rik	A330009N23Rik	A330009N23Rik	380977	RIKEN cDNA A330009N23 gene	chr15:101221190-101232756	pomc	nonpomc	OK	0.790	2.027	1.359	1.436	1.36E-02	1.89E-02	yes	2.566	Yes
AA960436	AA960436	AA960436	.	.	chr8:95332283-95347513	pomc	nonpomc	OK	2.966	7.606	1.358	4.666	5.00E-05	8.69E-05	yes	2.564	Yes
Vta1	Vta1	Vta1	66201	vesicle (multivesicular body) trafficking 1	chr10:14655332-14705489	pomc	nonpomc	OK	20.026	51.344	1.358	6.420	5.00E-05	8.69E-05	yes	2.564	Yes
Thrsp	Thrsp	Thrsp	21835	thyroid hormone responsive	chr7:97412956-97417510	pomc	nonpomc	OK	9.824	25.186	1.358	5.613	5.00E-05	8.69E-05	yes	2.564	Yes
Psma1	Psma1	Psma1	26440	"proteasome (prosome, macropain) subunit, alpha type 1"	chr7:114264549-114276116	pomc	nonpomc	OK	42.855	109.857	1.358	6.822	5.00E-05	8.69E-05	yes	2.563	Yes
LOC545261	LOC545261	LOC545261	.	.	chr18:61639652-61665538	pomc	nonpomc	OK	0.912	2.338	1.358	1.023	3.70E-02	4.87E-02	yes	2.563	Yes
Tmem93	Tmem93	Tmem93	.	.	chr11:73175502-73177042	pomc	nonpomc	OK	21.065	53.971	1.357	6.457	5.00E-05	8.69E-05	yes	2.562	Yes
Cbln4	Cbln4	Cbln4	228942	cerebellin 4 precursor protein	chr2:172036335-172043466	pomc	nonpomc	OK	5.811	14.873	1.356	6.126	5.00E-05	8.69E-05	yes	2.560	Yes
Tmem180	Tmem180	Tmem180	.	.	chr19:46356879-46375254	pomc	nonpomc	OK	3.145	8.049	1.356	5.123	5.00E-05	8.69E-05	yes	2.559	Yes
Tifab	Tifab	Tifab	212937	"TRAF-interacting protein with forkhead-associated domain, family member B"	chr13:56173702-56178885	pomc	nonpomc	OK	0.414	1.059	1.355	2.957	5.00E-05	8.69E-05	yes	2.558	Yes
Prr3	Prr3	Prr3	75210	proline-rich polypeptide 3	chr17:35972538-35979825	pomc	nonpomc	OK	11.035	28.220	1.355	6.088	5.00E-05	8.69E-05	yes	2.557	Yes
Lzts2	Lzts2	Lzts2	226154	"leucine zipper, putative tumor suppressor 2"	chr19:45015175-45045772	pomc	nonpomc	OK	9.136	23.359	1.354	6.963	5.00E-05	8.69E-05	yes	2.557	Yes
Tagln2	Tagln2	Tagln2	21346	transgelin 2	chr1:172500245-172507375	pomc	nonpomc	OK	4.316	11.031	1.354	4.658	5.00E-05	8.69E-05	yes	2.556	Yes
Pdhb	Pdhb	Pdhb	68263	pyruvate dehydrogenase (lipoamide) beta	chr14:8165990-8172992	pomc	nonpomc	OK	45.219	115.584	1.354	7.040	5.00E-05	8.69E-05	yes	2.556	Yes
Rangrf	Rangrf	Rangrf	57785	RAN guanine nucleotide release factor	chr11:68968130-68973820	pomc	nonpomc	OK	7.998	20.439	1.354	3.433	5.00E-05	8.69E-05	yes	2.555	Yes
Numbl	Numbl	Numbl	18223	numb-like	chr7:27258760-27282150	pomc	nonpomc	OK	13.109	33.484	1.353	7.492	5.00E-05	8.69E-05	yes	2.554	Yes
A330048O09Rik	A330048O09Rik	A330048O09Rik	320315	RIKEN cDNA A330048O09 gene	chr13:48272417-48273884	pomc	nonpomc	OK	0.971	2.480	1.353	1.861	2.75E-03	4.12E-03	yes	2.554	Yes
Tmem55a	Tmem55a	Tmem55a	72519	transmembrane protein 55A	chr4:14864218-14915260	pomc	nonpomc	OK	17.505	44.636	1.350	6.591	5.00E-05	8.69E-05	yes	2.550	Yes
Tmem202	Tmem202	Tmem202	73893	transmembrane protein 202	chr9:59518684-59525501	pomc	nonpomc	OK	1.175	2.996	1.350	2.603	5.00E-05	8.69E-05	yes	2.550	Yes
Parl	Parl	Parl	381038	"presenilin associated, rhomboid-like"	chr16:20279820-20302362	pomc	nonpomc	OK	13.695	34.917	1.350	5.972	5.00E-05	8.69E-05	yes	2.550	Yes
Olfm2	Olfm2	Olfm2	244723	olfactomedin 2	chr9:20667985-20728214	pomc	nonpomc	OK	15.172	38.676	1.350	6.652	5.00E-05	8.69E-05	yes	2.549	Yes
Atp5c1	Atp5c1	Atp5c1	11949	"ATP synthase, H+ transporting, mitochondrial F1 complex, gamma polypeptide 1"	chr2:10056030-10080510	pomc	nonpomc	OK	132.020	336.512	1.350	7.165	5.00E-05	8.69E-05	yes	2.549	Yes
Unkl	Unkl	Unkl	74154	unkempt family like zinc finger	chr17:25188399-25240116	pomc	nonpomc	OK	9.755	24.848	1.349	5.479	5.00E-05	8.69E-05	yes	2.547	Yes
Cacng7	Cacng7	Cacng7	81904	"calcium channel, voltage-dependent, gamma subunit 7"	chr7:3336584-3366948	pomc	nonpomc	OK	32.189	81.972	1.349	6.443	5.00E-05	8.69E-05	yes	2.547	Yes
Qtrt1	Qtrt1	Qtrt1	60507	queuine tRNA-ribosyltransferase 1	chr9:21411836-21420279	pomc	nonpomc	OK	3.430	8.734	1.348	4.495	5.00E-05	8.69E-05	yes	2.546	Yes
Snx22	Snx22	Snx22	382083	sorting nexin 22	chr9:66060168-66069731	pomc	nonpomc	OK	6.731	17.137	1.348	4.805	5.00E-05	8.69E-05	yes	2.546	Yes
Pnkd	Pnkd	Pnkd	56695	paroxysmal nonkinesiogenic dyskinesia	chr1:74285033-74353692	pomc	nonpomc	OK	40.520	103.050	1.347	5.123	5.00E-05	8.69E-05	yes	2.543	Yes
Dalrd3	Dalrd3	Dalrd3	67789	DALR anticodon binding domain containing 3	chr9:108569891-108578670	pomc	nonpomc	OK	13.812	35.121	1.346	1.562	5.15E-03	7.50E-03	yes	2.543	Yes
C2cd4c	C2cd4c	C2cd4c	237397	C2 calcium-dependent domain containing 4C	chr10:79606853-79614025	pomc	nonpomc	OK	1.991	5.062	1.346	6.205	5.00E-05	8.69E-05	yes	2.542	Yes
Isca1	Isca1	Isca1	69046	iron-sulfur cluster assembly 1	chr13:59755414-59769789	pomc	nonpomc	OK	71.395	181.506	1.346	7.110	5.00E-05	8.69E-05	yes	2.542	Yes
Rhebl1	Rhebl1	Rhebl1	69159	Ras homolog enriched in brain like 1	chr15:98877759-98881414	pomc	nonpomc	OK	1.817	4.619	1.346	3.149	5.00E-05	8.69E-05	yes	2.542	Yes
Gm13375	Gm13375	Gm13375	433408	predicted gene 13375	chr2:20968873-20970348	pomc	nonpomc	OK	6.628	16.845	1.346	6.095	5.00E-05	8.69E-05	yes	2.541	Yes
Haus2	Haus2	Haus2	66296	"HAUS augmin-like complex, subunit 2"	chr2:120604237-120620818	pomc	nonpomc	OK	4.493	11.416	1.345	4.185	5.00E-05	8.69E-05	yes	2.541	Yes
Timp4	Timp4	Timp4	110595	tissue inhibitor of metalloproteinase 4	chr6:115134901-115282626	pomc	nonpomc	OK	8.594	21.838	1.345	1.306	1.40E-02	1.93E-02	yes	2.541	Yes
Sdhaf1	Sdhaf1	Sdhaf1	68332	succinate dehydrogenase complex assembly factor 1	chr7:30321408-30322375	pomc	nonpomc	OK	12.060	30.641	1.345	6.002	5.00E-05	8.69E-05	yes	2.541	Yes
Gypc	Gypc	Gypc	71683	glycophorin C	chr18:32528319-32560034	pomc	nonpomc	OK	0.453	1.152	1.345	2.481	5.00E-05	8.69E-05	yes	2.541	Yes
Gm9895	Gm9895	Gm9895	100503337	predicted gene 9895	chr19:29067300-29069503	pomc	nonpomc	OK	0.651	1.655	1.345	1.505	6.75E-03	9.70E-03	yes	2.540	Yes
Lyrm5	Lyrm5	Lyrm5	67636	LYR motif containing 5	chr6:145211133-145216542	pomc	nonpomc	OK	16.406	41.672	1.345	5.246	5.00E-05	8.69E-05	yes	2.540	Yes
Sdhaf2	Sdhaf2	Sdhaf2	66072	succinate dehydrogenase complex assembly factor 2	chr19:10500511-10525209	pomc	nonpomc	OK	9.353	23.757	1.345	6.291	5.00E-05	8.69E-05	yes	2.540	Yes
Nxph3	Nxph3	Nxph3	104079	neurexophilin 3	chr11:95509845-95514565	pomc	nonpomc	OK	1.535	3.898	1.345	4.317	5.00E-05	8.69E-05	yes	2.540	Yes
Mchr1	Mchr1	Mchr1	207911	melanin-concentrating hormone receptor 1	chr15:81235498-81238964	pomc	nonpomc	OK	1.677	4.258	1.345	4.152	5.00E-05	8.69E-05	yes	2.540	Yes
Atg13	Atg13	Atg13	51897	autophagy related 13	chr2:91674611-91710592	pomc	nonpomc	OK	13.155	33.404	1.344	7.014	5.00E-05	8.69E-05	yes	2.539	Yes
Hmgcl	Hmgcl	Hmgcl	15356	3-hydroxy-3-methylglutaryl-Coenzyme A lyase	chr4:135946452-135962617	pomc	nonpomc	OK	10.015	25.425	1.344	5.880	5.00E-05	8.69E-05	yes	2.539	Yes
Rapgefl1	Rapgefl1	Rapgefl1	268480	Rap guanine nucleotide exchange factor (GEF)-like 1	chr11:98836784-98853005	pomc	nonpomc	OK	7.062	17.923	1.344	7.120	5.00E-05	8.69E-05	yes	2.538	Yes
Pacrg	Pacrg	Pacrg	69310	PARK2 co-regulated	chr17:10403011-10840191	pomc	nonpomc	OK	5.439	13.803	1.344	4.747	5.00E-05	8.69E-05	yes	2.538	Yes
